contract_address,callstack,reentrancy,time_dependency,integer_underflow,integer_overflow,money_concurrency
0x5bd7e534fb2d5a3c9cc7ee654f39fb65b8819a77,False,False,False,True,False,False
0xdb34a0e4dc1983c29008f071a820e3316fb3fa6b,False,False,False,False,False,False
0xe75b0a9aadc13ce8d6391e72339b8c11c9730031,False,False,False,False,False,True
0xdd39457768927c7d13b7854931eb4e800fb1f347,False,False,True,False,False,True
0x4e3083b577e7de2024b45e80c9ac617ab9622f8f,False,False,False,False,False,False
0xdfb0acd77b0a9538d2d1b05399a1f254a541076f,True,True,False,False,False,False
0xf6727696754d717440f2df47a8615c6b3059766e,False,False,False,False,False,False
0x57b818a1070373e21fcedf48d4368e1703c75852,False,False,True,False,False,True
0x3b1bdd0d0f3b1eaad8e48ceaf7c006c898105d95,False,False,True,False,True,False
0x9325f6e7767d61d934d118433666d1120863bdcd,False,False,False,False,True,False
0xe76f218ed471ac32b041fbe02b0025016c16e944,False,False,False,False,False,False
0xaffd185f4e505904566cdc9677a5efc2e9875b8b,False,False,False,False,False,False
0xee2fa32defc91c6d5200d46e4db7f8f8ba5c3992,False,False,False,False,False,False
0x6696728b2c69fef7231f12f942574f61a1e5f12e,False,False,False,False,False,False
0x786c81aae1895d56ed33b608751f2432bd697ece,False,False,False,False,False,False
0xc6201702b32e5697ced288637657413abfcdf441,False,False,False,False,False,False
0x038c55243015e8854d67ec3499db31450dc98337,True,False,False,False,False,False
0x4e4ae4b72c960ad91fab1e18253d16cdac6a091c,False,False,False,True,False,False
